(47108, 0, 69307, 0, 1.0, 0.0, 0.0)
(3138, 0, 113277, 0, 1.0, 0.0, 0.0)
(8177, 0, 108238, 0, 1.0, 0.0, 0.0)
(575, 0, 115840, 0, 1.0, 0.0, 0.0)
(1403, 0, 115012, 0, 1.0, 0.0, 0.0)
(19231, 0, 97184, 0, 1.0, 0.0, 0.0)
(7614, 0, 108801, 0, 1.0, 0.0, 0.0)
(1033, 0, 115382, 0, 1.0, 0.0, 0.0)
(21986, 0, 94429, 0, 1.0, 0.0, 0.0)
(37920, 0, 78495, 0, 1.0, 0.0, 0.0)
(6421, 0, 109994, 0, 1.0, 0.0, 0.0)
(1966, 0, 114449, 0, 1.0, 0.0, 0.0)
(28818, 0, 87597, 0, 1.0, 0.0, 0.0)
(8696, 0, 107719, 0, 1.0, 0.0, 0.0)
(3182, 0, 113233, 0, 1.0, 0.0, 0.0)
(3227, 0, 113188, 0, 1.0, 0.0, 0.0)
(6772, 0, 109643, 0, 1.0, 0.0, 0.0)
(5453, 0, 110962, 0, 1.0, 0.0, 0.0)
(9661, 0, 106754, 0, 1.0, 0.0, 0.0)
(3295, 0, 113120, 0, 1.0, 0.0, 0.0)
(5398, 0, 111017, 0, 1.0, 0.0, 0.0)
(6205, 0, 110210, 0, 1.0, 0.0, 0.0)
(1305, 0, 115110, 0, 1.0, 0.0, 0.0)
(40088, 0, 76327, 0, 1.0, 0.0, 0.0)
(2965, 0, 113450, 0, 1.0, 0.0, 0.0)
(3295, 0, 113120, 0, 1.0, 0.0, 0.0)
(14598, 0, 101817, 0, 1.0, 0.0, 0.0)
(26552, 0, 89863, 0, 1.0, 0.0, 0.0)
(22680, 0, 93735, 0, 1.0, 0.0, 0.0)
(34230, 0, 82185, 0, 1.0, 0.0, 0.0)
(25287, 0, 91128, 0, 1.0, 0.0, 0.0)
(927, 0, 115488, 0, 1.0, 0.0, 0.0)
(5398, 0, 111017, 0, 1.0, 0.0, 0.0)
(23413, 0, 93002, 0, 1.0, 0.0, 0.0)
(31371, 0, 85044, 0, 1.0, 0.0, 0.0)
(8023, 0, 108392, 0, 1.0, 0.0, 0.0)
(29177, 0, 87238, 0, 1.0, 0.0, 0.0)
(7063, 0, 109352, 0, 1.0, 0.0, 0.0)
(10336, 0, 106079, 0, 1.0, 0.0, 0.0)
(559, 0, 115856, 0, 1.0, 0.0, 0.0)
(26302, 0, 90113, 0, 1.0, 0.0, 0.0)
(8625, 0, 107790, 0, 1.0, 0.0, 0.0)
(12117, 0, 104298, 0, 1.0, 0.0, 0.0)
(2933, 0, 113482, 0, 1.0, 0.0, 0.0)
(20580, 0, 95835, 0, 1.0, 0.0, 0.0)
(9165, 0, 107250, 0, 1.0, 0.0, 0.0)
(607, 0, 115808, 0, 1.0, 0.0, 0.0)
(32076, 0, 84339, 0, 1.0, 0.0, 0.0)
(3258, 0, 113157, 0, 1.0, 0.0, 0.0)
(3229, 0, 113186, 0, 1.0, 0.0, 0.0)
(7440, 0, 108975, 0, 1.0, 0.0, 0.0)
(3093, 0, 113322, 0, 1.0, 0.0, 0.0)
(7961, 0, 108454, 0, 1.0, 0.0, 0.0)
(37865, 0, 78550, 0, 1.0, 0.0, 0.0)
(12149, 0, 104266, 0, 1.0, 0.0, 0.0)
(6, 0, 116409, 0, 1.0, 0.0, 0.0)
(3229, 0, 113186, 0, 1.0, 0.0, 0.0)
(28697, 0, 87718, 0, 1.0, 0.0, 0.0)
(27369, 0, 89046, 0, 1.0, 0.0, 0.0)
(12025, 0, 104390, 0, 1.0, 0.0, 0.0)
(4414, 0, 112001, 0, 1.0, 0.0, 0.0)
(17450, 0, 98965, 0, 1.0, 0.0, 0.0)
(5082, 0, 111333, 0, 1.0, 0.0, 0.0)
(8010, 0, 108405, 0, 1.0, 0.0, 0.0)
(4443, 0, 111972, 0, 1.0, 0.0, 0.0)
