32,54
14,74
27,46
50,96
21,28
4,36
8,63
7,25
63,76
48,86
11,90
33,41
16,47
72,92
73,82
54,92
1,64
2,78
41,57
78,86
40,66
12,59
52,98
17,64
64,88
19,91
20,75
76,88
41,74
42,88
5,84
6,98
45,61
10,97
67,80
13,20
39,70
0,55
20,58
59,97
60,81
23,95
8,87
45,78
84,95
85,87
32,77
14,77
70,94
53,62
27,39
1,40
57,59
21,37
4,35
8,38
7,22
48,77
11,83
33,34
16,38
73,91
54,87
1,89
2,73
78,89
79,85
26,67
29,44
12,50
19,96
20,82
76,87
42,67
5,93
45,54
66,93
67,89
35,96
0,14
3,11
23,84
8,94
45,71
32,68
33,74
14,84
70,81
71,93
1,33
57,60
21,46
4,42
8,45
7,15
48,68
29,62
12,90
16,29
72,74
36,80
1,82
2,64
41,43
5,53
79,82
26,74
27,72
12,41
17,50
37,63
20,89
76,78
77,88
24,28
5,70
6,92
10,19
66,84
67,94
30,86
0,5
8,69
64,98
45,64
85,89
32,91
33,67
14,95
70,72
71,90
18,98
1,58
57,69
38,97
21,55
4,17
80,98
26,34
29,55
12,81
33,60
16,20
36,95
37,87
2,91
15,30
41,44
22,30
79,91
26,85
51,71
17,43
37,56
20,96
77,81
24,99
5,79
6,87
29,96
10,26
67,71
30,89
31,85
0,28
40,99
8,76
85,98
32,82
33,68
14,38
71,83
18,93
1,51
57,78
58,68
21,48
4,24
80,89
26,45
63,96
11,70
12,72
33,53
73,78
54,56
37,80
2,82
41,95
61,74
26,92
27,70
49,58
30,49
51,76
52,70
17,44
31,52
42,60
5,72
6,78
67,76
13,56
0,19
55,72
23,99
50,63
14,41
71,72
18,84
1,52
58,79
21,57
4,7
26,52
46,51
12,71
36,77
37,89
2,45
58,62
22,40
5,32
61,67
62,83
9,37
30,56
88,95
51,85
34,39
17,37
31,61
37,42
6,65
10,12
49,95
30,75
13,49
18,60
55,65
38,59
32,96
33,86
14,48
90,97
18,79
1,13
57,88
58,86
21,66
4,14
80,87
43,93
26,63
68,99
37,66
2,36
97,98
5,41
61,92
62,90
27,84
30,35
51,90
52,84
17,30
42,46
6,56
10,55
49,80
50,94
31,64
18,55
55,94
38,50
95,98
25,31
8,97
64,78
11,28
14,59
18,70
1,6
57,97
58,81
21,75
22,75
43,82
44,92
46,61
9,77
73,97
28,48
2,63
22,58
5,18
61,85
62,93
27,45
30,42
52,83
17,23
0,73
9,57
23,25
6,51
10,62
49,73
50,89
13,35
18,46
74,83
55,87
40,95
43,58
64,69
65,73
29,99
36,41
42,93
18,65
1,31
58,88
21,84
22,66
43,75
44,91
7,97
11,98
68,81
51,59
15,33
19,34
2,54
22,61
5,27
62,68
9,88
10,86
30,45
86,94
34,48
15,86
0,64
55,63
76,96
10,36
24,70
6,42
10,57
49,66
50,80
31,54
35,51
18,41
74,90
75,88
38,44
34,81
26,50
0,33
23,49
52,79
15,69
11,45
36,51
31,69
50,52
48,98
36,99
87,95
0,4
37,75
9,38
15,73
8,52
38,91
69,91
5,9
29,54
23,32
81,89
13,74
27,64
40,56
14,27
13,62
91,92
27,89
33,96
29,59
42,73
13,72
13,34
54,81
23,48
20,95
5,39
42,55
34,44
